#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
ChengpingW_2017__AS103raw__bin.8	2582	2078	311	193	0	51	2656	2145	317	194	0	55	55.88	2025
BritoIL_2016__W3.17.ST__bin.63	3865	3526	307	32	0	65	3887	3545	310	32	0	67	94.65	3430
ChengpingW_2017__AS10raw__bin.44	2091	1875	150	66	0	65	2099	1878	155	66	0	66	50.66	1836
BritoIL_2016__W3.16.ST__bin.22	3687	3468	191	28	0	64	3706	3485	193	28	0	66	93.32	3382
BritoIL_2016__WL.17.ST__bin.27	3306	2910	344	52	0	65	3318	2918	348	52	0	66	78.31	2838
ChengpingW_2017__AS117raw__bin.17	2364	2084	197	83	0	65	2388	2097	207	84	0	65	56.18	2036
BritoIL_2016__WL.43.ST__bin.26	3644	3321	249	74	0	64	3678	3354	250	74	0	67	89.27	3235
ChengpingW_2017__AS123raw__bin.44	2617	2161	280	176	0	53	2685	2219	289	177	0	54	58.39	2116
ChengpingW_2017__AS126raw__bin.24	2370	2188	129	53	0	65	2385	2202	130	53	0	66	59.05	2140
ChengpingW_2017__AS111raw__bin.7	3822	3428	287	107	0	65	3868	3468	293	107	0	67	92.27	3344
ChengpingW_2017__AS127raw__bin.21	2257	2061	122	74	0	65	2267	2069	124	74	0	66	55.66	2017
ChengpingW_2017__AS128raw__bin.8	2207	1950	129	128	0	52	2238	1981	129	128	0	54	52.54	1904
ChengpingW_2017__AS114raw__bin.2	3928	3499	290	139	0	64	3981	3547	293	141	0	66	93.98	3406
ChengpingW_2017__AS138raw__bin.12	2812	2387	261	164	0	60	2868	2436	267	165	0	62	64.38	2333
ChengpingW_2017__AS130raw__bin.26	3474	3065	282	127	0	64	3493	3077	289	127	0	65	82.37	2985
ChengpingW_2017__AS37raw__bin.5	1807	1510	177	120	0	49	1836	1537	179	120	0	49	40.92	1483
ChengpingW_2017__AS26raw__bin.15	3592	3147	288	157	0	64	3656	3204	293	159	0	66	84.52	3063
ChengpingW_2017__AS36raw__bin.28	3433	2853	410	170	0	62	3478	2895	413	170	0	63	76.55	2774
ChengpingW_2017__AS25raw__bin.37	4213	3593	381	239	0	65	4266	3630	396	240	0	67	96.61	3501
ChengpingW_2017__AS28raw__bin.37	3557	3076	352	129	0	65	3611	3117	363	131	0	66	82.75	2999
ChengpingW_2017__AS41raw__bin.26	2765	2384	297	84	0	39	2784	2399	301	84	0	39	63.74	2310
ChengpingW_2017__AS62raw__bin.18	2867	2399	324	144	0	57	2913	2440	329	144	0	57	64.93	2353
ChengpingW_2017__AS81raw__bin.20	2658	2325	196	137	0	61	2703	2366	199	138	0	65	62.89	2279
ChengpingW_2017__AS73raw__bin.20	3708	3364	223	121	0	65	3760	3410	228	122	0	69	90.56	3282
CM_madagascar__A04_04_1FE__bin.43	2270	2153	98	19	0	65	2272	2155	98	19	0	66	58.2	2109
ChengpingW_2017__AS3raw__bin.3	4565	3587	688	290	0	65	4597	3606	700	291	0	67	96.41	3494
CM_madagascar__A08_01_1FE__bin.64	2516	2227	169	120	0	65	2530	2233	176	121	0	66	60.04	2176
CM_madagascar__A01_02_1FE__bin.3	3463	3105	271	87	0	65	3495	3129	279	87	0	66	83.58	3029
ChengpingW_2017__AS79raw__bin.22	4288	3446	529	313	0	64	4320	3473	534	313	0	66	92.8	3363
CM_madagascar__A04_01_1FE__bin.44	3610	3393	172	45	0	64	3620	3402	173	45	0	66	91.36	3311
CM_madagascar__A02_01_1FE__bin.7	4111	3567	360	184	0	65	4147	3593	370	184	0	67	96.0	3479
ChengpingW_2017__AS80raw__bin.12	4572	3271	722	579	0	64	4742	3377	771	594	0	66	87.83	3183
CM_madagascar__A09_01_1FE__bin.18	4263	3643	494	126	0	65	4342	3692	518	132	0	67	97.79	3544
CM_madagascar__A13_01_1FE__bin.15	3642	3123	326	193	0	65	3695	3164	335	196	0	67	83.91	3041
CM_madagascar__A19_03_1FE__bin.6	2237	2036	152	49	0	65	2260	2050	161	49	0	66	54.91	1990
CM_madagascar__A23_01_1FE__bin.12	2106	1841	146	119	0	46	2114	1849	146	119	0	46	49.7	1801
CM_madagascar__A11_01_1FE__bin.8	4345	3633	518	194	0	65	4405	3656	542	207	0	67	97.54	3535
CM_madagascar__A09_02_1FE__bin.17	4391	3601	483	307	0	65	4453	3619	509	325	0	67	96.74	3506
CM_madagascar__A14_01_1FE__bin.19	3919	3186	448	285	0	64	3947	3204	455	288	0	66	86.26	3126
CM_madagascar__A15_02_1FE__bin.3	3911	3250	486	175	0	65	3965	3295	493	177	0	67	87.31	3164
CM_madagascar__A19_01_1FE__bin.15	3964	3532	363	69	0	65	3991	3550	372	69	0	67	94.84	3437
CM_madagascar__A20_01_1FE__bin.10	3626	3308	253	65	0	64	3651	3325	261	65	0	66	89.05	3227
CM_madagascar__A24_02_1FE__bin.20	4154	3641	348	165	0	65	4188	3671	351	166	0	67	97.79	3544
CM_madagascar__A34_01_1FE__bin.14	3143	2807	197	139	0	57	3167	2830	198	139	0	59	75.47	2735
CM_madagascar__A36_02_1FE__bin.15	3003	2575	221	207	0	63	3072	2617	246	209	0	65	69.43	2516
CM_madagascar__A28_02_1FE__bin.63	4017	3560	323	134	0	65	4052	3589	329	134	0	69	95.75	3470
CM_madagascar__A36_01_1FE__bin.11	4126	3571	416	139	0	65	4163	3593	430	140	0	67	95.92	3476
CM_madagascar__A39_04_1FE__bin.24	2656	2169	361	126	0	65	2680	2182	371	127	0	66	58.44	2118
CM_madagascar__A41_01_1FE__bin.28	3587	3414	143	30	0	64	3599	3424	145	30	0	66	91.97	3333
CM_madagascar__A39_02_1FE__bin.26	4283	3603	445	235	0	65	4343	3636	461	246	0	67	96.74	3506
CM_madagascar__A40_02_1FE__bin.23	4095	3579	378	138	0	65	4126	3600	387	139	0	67	96.11	3483
CM_madagascar__A43_02_1FE__bin.24	4035	3447	443	145	0	64	4063	3469	449	145	0	65	92.52	3353
CM_madagascar__A54_02_1FE__bin.15	2482	2283	165	34	0	65	2495	2294	167	34	0	66	61.73	2237
CM_madagascar__A44_01_1FE__bin.23	4084	3603	393	88	0	65	4115	3627	399	89	0	67	96.8	3508
CM_madagascar__A46_02_1FE__bin.18	4000	3513	324	163	0	65	4047	3552	330	165	0	67	94.37	3420
CM_madagascar__A47_02_1FE__bin.12	2754	2320	292	142	0	65	2811	2332	334	145	0	66	62.53	2266
CM_madagascar__A55_02_1FE__bin.31	2383	2014	309	60	0	64	2392	2018	313	61	0	64	54.28	1967
CM_madagascar__A48_05_1FE__bin.12	3383	2819	355	209	0	65	3427	2840	375	212	0	66	75.83	2748
CM_madagascar__A53_01_1FE__bin.42	3672	3380	236	56	0	65	3696	3403	237	56	0	67	90.81	3291
CM_madagascar__A47_01_1FE__bin.9	4003	3592	320	91	0	65	4041	3620	329	92	0	66	96.61	3501
CM_madagascar__A56_01_1FE__bin.35	4010	3580	281	149	0	65	4045	3612	284	149	0	66	96.25	3488
CM_madagascar__A69_02_1FE__bin.37	3755	3396	291	68	0	65	3772	3407	296	69	0	67	91.31	3309
CM_madagascar__A62_03_1FE__bin.5	4256	3592	523	141	0	65	4286	3612	532	142	0	67	96.55	3499
CM_madagascar__A59_01_1FE__bin.31	4204	3500	510	194	0	64	4228	3520	512	196	0	66	94.07	3409
CM_madagascar__A72_02_1FE__bin.13	2980	2663	185	132	0	58	3010	2691	187	132	0	60	71.61	2595
CM_madagascar__A82_02_1FE__bin.3	3106	2581	232	293	0	53	3139	2605	237	297	0	54	70.09	2540
CM_madagascar__A70_01_1FE__bin.22	4201	3585	358	258	0	65	4236	3614	363	259	0	67	96.27	3489
CM_madagascar__A83_02_1FE__bin.56	3334	2997	231	106	0	65	3360	3016	238	106	0	66	80.52	2918
CM_madagascar__A92_01_1FE__bin.38	2394	2178	196	20	0	61	2400	2180	200	20	0	61	58.89	2134
CM_madagascar__A85_01_1FE__bin.33	2840	2541	171	128	0	62	2874	2573	172	129	0	63	68.49	2482
CM_madagascar__A73_01_1FE__bin.8	3958	3487	333	138	0	64	3995	3514	342	139	0	66	93.68	3395
CM_madagascar__A73_02_1FE__bin.40	3537	3275	201	61	0	63	3565	3301	203	61	0	66	88.16	3195
CM_madagascar__A94_03_1FE__bin.4	3303	2821	351	131	0	65	3335	2837	366	132	0	66	75.83	2748
CM_madagascar__A88_02_1FE__bin.20	4012	3345	501	166	0	65	4063	3382	514	167	0	67	89.87	3257
CM_madagascar__A91_01_1FE__bin.29	4051	3528	385	138	0	65	4082	3553	390	139	0	67	94.7	3432
CM_madagascar__A95_01_1FE__bin.28	3650	3396	170	84	0	63	3737	3482	171	84	0	68	91.34	3310
CM_madagascar__V30_01_1FE__bin.85	2094	1702	214	178	0	57	2109	1712	216	181	0	58	46.25	1676
CM_madagascar__V12_01_2FE__bin.28	3660	3366	200	94	0	65	3696	3402	200	94	0	69	90.4	3276
CM_madagascar__V19_01_2FE__bin.18	2562	2444	99	19	0	64	2565	2446	100	19	0	64	66.09	2395
CM_madagascar__V01_01_1FE__bin.29	4024	3522	406	96	0	65	4069	3546	427	96	0	67	94.65	3430
CM_madagascar__V31_01_2FE__bin.26	3798	3532	238	28	0	65	3808	3541	239	28	0	67	95.01	3443
CM_madagascar__V40_01_1FE__bin.63	3405	3193	173	39	0	64	3436	3221	176	39	0	65	85.82	3110
CM_madagascar__V50_01_1FE__bin.3	2985	2640	194	151	0	65	3004	2655	197	152	0	66	70.92	2570
CosteaPI_2017__donald4-11-30-0__bin.8	3316	2804	329	183	0	57	3376	2858	335	183	0	58	75.39	2732
CosteaPI_2017__donald5-11-0-0__bin.16	3061	2620	275	166	0	59	3114	2668	278	168	0	61	70.34	2549
CM_madagascar__V32_02_2FE__bin.2	3991	3535	290	166	0	65	4037	3571	299	167	0	67	95.09	3446
CM_madagascar__V53_02_1FE__bin.20	3714	3481	175	58	0	65	3727	3493	176	58	0	66	93.6	3392
CM_madagascar__V50_01_2FE__bin.12	4087	3648	309	130	0	65	4118	3673	314	131	0	67	98.04	3553
CosteaPI_2017__donald4-11-7-0__bin.11	2285	2058	173	54	0	64	2308	2075	179	54	0	65	55.44	2009
CM_madagascar__V36_02_2FE__bin.28	4237	3546	374	317	0	65	4281	3576	385	320	0	67	95.17	3449
CosteaPI_2017__SID713A010-11-90-0__bin.66	2781	2467	190	124	0	62	2833	2516	192	125	0	64	66.64	2415
CosteaPI_2017__peacemaker3-11-0-0__bin.10	3519	3171	199	149	0	65	3561	3211	199	151	0	66	85.51	3099
CosteaPI_2017__pluto3-11-0-0__bin.54	4238	3500	599	139	0	65	4306	3533	634	139	0	67	94.18	3413
CosteaPI_2017__SID713A015-11-90-0__bin.17	2284	2074	179	31	0	65	2308	2090	187	31	0	65	56.1	2033
CosteaPI_2017__SID713A014-11-0-0__bin.23	4213	3514	424	275	0	65	4258	3540	438	280	0	67	94.59	3428
CosteaPI_2017__SID713A014-11-90-0__bin.2	4064	3534	380	150	0	65	4112	3572	389	151	0	67	94.92	3440
CosteaPI_2017__SID713A021-11-0-0__bin.22	3678	3469	178	31	0	65	3702	3487	183	32	0	67	93.38	3384
CosteaPI_2017__SID713A023-11-0-0__bin.57	3502	2897	334	271	0	63	3572	2960	341	271	0	64	77.98	2826
CosteaPI_2017__SID713A039-11-0-0__bin.63	2038	1936	99	3	0	64	2048	1944	101	3	0	65	52.15	1890
CosteaPI_2017__SID713A028-11-0-0__bin.35	3163	2807	215	141	0	63	3201	2844	216	141	0	65	75.44	2734
CosteaPI_2017__SID713A037-11-0-0__bin.73	3252	2874	246	132	0	60	3281	2901	248	132	0	62	77.35	2803
CosteaPI_2017__SID713A026-11-0-0__bin.13	4201	3535	500	166	0	65	4229	3556	507	166	0	67	94.92	3440
CosteaPI_2017__SID713A053-11-90-0__bin.74	2879	2481	226	172	0	55	2938	2539	227	172	0	59	66.67	2416
CosteaPI_2017__SID713A057-11-90-0__bin.44	2362	2132	194	36	0	65	2379	2144	199	36	0	66	57.48	2083
CosteaPI_2017__SID713A040-11-0-0__bin.48	3908	3627	260	21	0	65	3936	3651	264	21	0	67	97.52	3534
CosteaPI_2017__SID713A045-11-0-0__bin.46	3696	3402	187	107	0	65	3724	3425	192	107	0	67	91.5	3316
CosteaPI_2017__SID713A057-11-0-0__bin.42	3465	3261	168	36	0	65	3479	3275	168	36	0	67	87.69	3178
CosteaPI_2017__SID713A088-11-0-0__bin.53	2253	1942	263	48	0	65	2267	1949	269	49	0	66	52.29	1895
CosteaPI_2017__SID713A066-11-0-0__bin.25	3864	3530	240	94	0	64	3922	3579	248	95	0	66	94.9	3439
CosteaPI_2017__SID713A062-11-0-0__bin.56	4169	3678	352	139	0	65	4214	3705	368	141	0	67	98.84	3582
CosteaPI_2017__SID713A078-11-0-0__bin.73	3310	2984	181	145	0	64	3355	3024	185	146	0	66	80.3	2910
CosteaPI_2017__SID713B030-11-0-0__bin.14	2011	1752	139	120	0	47	2036	1774	141	121	0	47	47.3	1714
CosteaPI_2017__SID713A066-11-90-0__bin.42	4032	3542	245	245	0	65	4078	3580	252	246	0	67	95.28	3453
CosteaPI_2017__SID713A088-11-90-0__bin.25	3308	2793	418	97	0	64	3350	2810	439	101	0	64	74.72	2708
CosteaPI_2017__SID713A068-11-90-0__bin.26	4086	3591	322	173	0	65	4122	3622	327	173	0	67	96.69	3504
CosteaPI_2017__SID713B026-11-0-0__bin.40	3324	3073	192	59	0	65	3346	3093	194	59	0	67	82.75	2999
CosteaPI_2017__SID713A089-11-90-0__bin.8	4298	3511	586	201	0	64	4321	3530	589	202	0	66	94.81	3436
CosteaPI_2017__SID713B044-11-0-0__bin.5	2880	2634	150	96	0	59	2929	2681	152	96	0	60	70.86	2568
CosteaPI_2017__SID713B040-11-0-0__bin.39	4104	3614	295	195	0	65	4140	3640	303	197	0	67	97.24	3524
CosteaPI_2017__SID713B051-11-90-0__bin.2	2777	2151	308	318	0	48	2828	2193	314	321	0	48	57.97	2101
CosteaPI_2017__SID713B041-11-0-0__bin.18	3980	3650	264	66	0	65	4006	3671	269	66	0	67	98.12	3556
CosteaPI_2017__SID713B042-11-0-0__bin.55	3389	3083	213	93	0	65	3425	3117	215	93	0	67	83.0	3008
CosteaPI_2017__SID713B043-11-0-0__bin.45	3594	3414	140	40	0	65	3615	3432	143	40	0	67	91.97	3333
CosteaPI_2017__SID713B065-11-0-0__bin.35	2178	1937	124	117	0	48	2211	1967	127	117	0	48	52.18	1891
CosteaPI_2017__SID713B052-11-90-0__bin.24	3854	3393	310	151	0	65	3941	3444	345	152	0	67	91.14	3303
CosteaPI_2017__SID713B046-11-0-0__bin.5	4359	3660	467	232	0	64	4429	3691	504	234	0	66	98.37	3565
CosteaPI_2017__SID713B055-11-0-0__bin.42	3959	3581	311	67	0	65	3983	3598	318	67	0	67	96.22	3487
DavidLA_2015__LD-Run1-01__bin.2	2208	1780	271	157	0	65	2217	1786	274	157	0	66	47.93	1737
CosteaPI_2017__SID713B055-11-90-0__bin.27	4194	3670	394	130	0	65	4231	3696	405	130	0	67	98.59	3573
CosteaPI_2017__SID713B061-11-0-0__bin.35	4077	3617	358	102	0	65	4106	3636	365	105	0	67	97.1	3519
CosteaPI_2017__SID713B072-11-0-0__bin.27	3141	2548	272	321	0	55	3191	2592	277	322	0	57	68.71	2490
DavidLA_2015__LD-Run1-04__bin.2	1865	1778	44	43	0	65	1870	1782	45	43	0	66	48.01	1740
DavidLA_2015__LD-Run1-09__bin.12	1890	1570	136	184	0	48	1909	1586	137	186	0	49	42.41	1537
CosteaPI_2017__SID713B066-11-0-0__bin.3	3840	3533	246	61	0	64	3863	3556	246	61	0	66	95.01	3443
CosteaPI_2017__SID713B069-11-0-0__bin.47	3861	3499	259	103	0	65	3889	3523	261	105	0	67	94.01	3407
DavidLA_2015__LD-Run1-07__bin.3	3155	2653	395	107	0	65	3170	2662	400	108	0	66	71.36	2586
DavidLA_2015__LD-Run2-06__bin.2	1924	1782	66	76	0	63	1931	1788	67	76	0	63	48.1	1743
DavidLA_2015__LD-Run1-02__bin.14	4275	3554	535	186	0	65	4305	3573	544	188	0	67	95.56	3463
FengQ_2015__SID31129__bin.2	2565	2254	147	164	0	55	2638	2322	150	166	0	57	60.54	2194
DavidLA_2015__LD-Run1-08__bin.5	3901	3197	524	180	0	65	3931	3213	537	181	0	67	85.84	3111
DavidLA_2015__LD-Run2-07__bin.2	4586	3483	583	520	0	65	4672	3554	595	523	0	71	93.74	3397
DavidLA_2015__LD-Run2-26__bin.2	3801	3284	408	109	0	65	3858	3338	410	110	0	67	88.36	3202
DavidLA_2015__LD-Run2-33__bin.1	3230	2822	296	112	0	63	3265	2851	300	114	0	64	75.8	2747
DavidLA_2015__LD-Run1-12__bin.9	4338	3654	496	188	0	65	4397	3688	520	189	0	67	98.18	3558
DavidLA_2015__LD-Run2-08__bin.5	4011	3517	241	253	0	65	4047	3545	248	254	0	66	94.54	3426
FengQ_2015__SID31446__bin.63	2740	2360	265	115	0	63	2771	2386	270	115	0	63	63.19	2290
FengQ_2015__SID31455__bin.71	2224	1910	287	27	0	64	2240	1919	294	27	0	65	51.77	1876
FengQ_2015__SID31219__bin.27	3736	3473	199	64	0	65	3762	3495	203	64	0	67	93.43	3386
FengQ_2015__SID31501__bin.35	2559	2096	342	121	0	65	2569	2104	344	121	0	66	56.48	2047
FengQ_2015__SID31431__bin.69	3257	2940	196	121	0	63	3297	2975	199	123	0	64	79.06	2865
FengQ_2015__SID31275__bin.4	4214	3351	612	251	0	64	4244	3368	619	257	0	65	90.59	3283
FengQ_2015__SID31637__bin.1	2530	2183	286	61	0	65	2558	2203	290	65	0	70	58.86	2133
FengQ_2015__SID31493__bin.23	3128	2733	319	76	0	60	3152	2747	328	77	0	60	73.26	2655
FengQ_2015__SID31343__bin.20	4007	3299	546	162	0	63	4038	3314	561	163	0	65	88.55	3209
FengQ_2015__SID31705__bin.32	2609	2158	395	56	0	65	2623	2167	400	56	0	66	58.5	2120
FengQ_2015__SID31750__bin.90	1931	1621	198	112	0	50	1968	1656	200	112	0	53	44.01	1595
FengQ_2015__SID31749__bin.32	2924	2525	340	59	0	65	2947	2537	350	60	0	66	68.32	2476
FengQ_2015__SID31714__bin.39	3507	3052	258	197	0	65	3559	3081	272	206	0	66	82.23	2980
FengQ_2015__SID31880__bin.44	2162	2052	96	14	0	64	2173	2060	99	14	0	64	55.57	2014
FengQ_2015__SID31711__bin.14	4208	3382	542	284	0	64	4253	3417	550	286	0	66	91.67	3322
FengQ_2015__SID31868__bin.46	2772	2381	319	72	0	63	2803	2398	333	72	0	63	63.82	2313
FengQ_2015__SID31883__bin.63	2397	2061	165	171	0	65	2413	2075	166	172	0	67	55.77	2021
FengQ_2015__SID31866__bin.23	3786	3193	429	164	0	65	3832	3227	441	164	0	67	85.9	3113
FengQ_2015__SID31879__bin.31	3695	3133	501	61	0	65	3731	3151	519	61	0	66	84.13	3049
FengQ_2015__SID530050__bin.5	3128	2558	355	215	0	60	3192	2618	359	215	0	61	69.15	2506
FengQ_2015__SID530315__bin.15	2420	2099	177	144	0	23	2444	2114	185	145	0	24	56.43	2045
FengQ_2015__SID530185__bin.33	2728	2247	318	163	0	65	2748	2259	325	164	0	66	60.54	2194
FengQ_2015__SID530364__bin.47	2550	2063	245	242	0	61	2563	2071	247	245	0	61	55.96	2028
FengQ_2015__SID31884__bin.39	4168	3266	615	287	0	64	4204	3281	635	288	0	64	88.13	3194
FengQ_2015__SID530154__bin.41	4119	3504	533	82	0	65	4161	3535	542	84	0	67	94.76	3434
FengQ_2015__SID530167__bin.35	4285	3544	366	375	0	65	4361	3592	379	390	0	67	95.45	3459
FengQ_2015__SID531274__bin.4	2569	2147	353	69	0	65	2603	2159	375	69	0	66	58.2	2109
FengQ_2015__SID530323__bin.39	3642	3288	264	90	0	64	3670	3312	268	90	0	66	88.49	3207
FengQ_2015__SID530451__bin.38	3521	2801	527	193	0	65	3573	2822	553	198	0	65	74.94	2716
FengQ_2015__SID530756__bin.17	4486	3551	650	285	0	65	4535	3568	679	288	0	67	95.86	3474
FengQ_2015__SID530840__bin.30	4181	3534	355	292	0	65	4225	3562	371	292	0	67	94.95	3441
FengQ_2015__SID531403__bin.2	4210	3542	523	145	0	65	4248	3563	537	148	0	67	95.17	3449
FerrettiP_2018__CA_C10003IS2042FE_t4M15__bin.7	2964	2492	370	102	0	65	3003	2511	390	102	0	66	67.19	2435
FerrettiP_2018__CA_C10001IS2012FE_t3M15__bin.1	3773	2963	613	197	0	65	3815	2983	631	201	0	66	80.08	2902
FerrettiP_2018__CA_C10005IS2069FE_t2M15__bin.9	2583	2236	311	36	0	64	2600	2246	317	37	0	64	60.49	2192
FengQ_2015__SID531416__bin.26	4263	3558	444	261	0	65	4293	3580	450	263	0	67	95.56	3463
FerrettiP_2018__CA_C10001IS2009FE_t2M15__bin.2	4493	3547	678	268	0	65	4573	3579	718	276	0	67	95.92	3476
FerrettiP_2018__CA_C10007IS2102FE_t1M15__bin.8	2149	1926	194	29	0	65	2162	1935	198	29	0	66	51.96	1883
FerrettiP_2018__CA_C10005IS2066FE_t1M15__bin.7	3456	2915	472	69	0	65	3490	2927	493	70	0	66	78.78	2855
FerrettiP_2018__CA_C10003IS2040FE_t3M15__bin.4	4306	3529	586	191	0	65	4364	3554	619	191	0	67	95.36	3456
FerrettiP_2018__CA_C10005IS2077FE_t4M15__bin.4	4168	3537	533	98	0	65	4203	3560	544	99	0	67	95.61	3465
FerrettiP_2018__CA_C10005IS2077FE_t5M15__bin.19	4199	3539	532	128	0	65	4243	3562	552	129	0	67	95.67	3467
FerrettiP_2018__CA_C10007IS2105FE_t2M15__bin.1	4201	3621	410	170	0	65	4258	3655	430	173	0	67	97.32	3527
FerrettiP_2018__CA_C10006IS2095FE_t5M16__bin.5	4587	3595	700	292	0	65	4663	3620	747	296	0	67	96.58	3500
FerrettiP_2018__CA_C10007IS2110FE_t3M15__bin.7	4182	3624	421	137	0	65	4248	3658	451	139	0	67	97.41	3530
FerrettiP_2018__CA_C10023IS2390FE_t1M15__bin.1	2229	1797	294	138	0	42	2252	1816	298	138	0	43	48.68	1764
FerrettiP_2018__CA_C10007IS2114FE_t4M15__bin.9	4072	3523	443	106	0	64	4123	3555	460	108	0	66	94.65	3430
FerrettiP_2018__CA_C10007IS2113FE_t5M16__bin.9	4356	3569	641	146	0	65	4405	3592	665	148	0	67	95.89	3475
FerrettiP_2018__CA_C10009IS2141FE_t2M15__bin.8	3532	2876	551	105	0	65	3555	2887	563	105	0	66	77.76	2818
FerrettiP_2018__CA_C10009IS2145FE_t3M16__bin.3	3423	2894	426	103	0	65	3460	2911	446	103	0	66	78.23	2835
FerrettiP_2018__CA_C10008IS2131FE_t5M16__bin.11	4280	3509	657	114	0	65	4324	3537	673	114	0	67	94.81	3436
FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.3	4293	3595	584	114	0	65	4344	3611	619	114	0	67	96.63	3502
FerrettiP_2018__CA_C10023IS2397FE_t3M15__bin.3	4317	3544	577	196	0	65	4360	3566	597	197	0	67	95.83	3473
FerrettiP_2018__CA_C10023IS2401FE_t4M16__bin.4	4242	3542	550	150	0	65	4271	3565	555	151	0	67	95.78	3471
FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.11	4186	3489	536	161	0	65	4213	3508	542	163	0	67	94.32	3418
FerrettiP_2018__CA_C10024IS2411FE_t2M15__bin.4	3799	3236	441	122	0	64	3829	3264	442	123	0	65	87.5	3171
FerrettiP_2018__CA_C10031IS2541FE_t5M16__bin.14	2470	2274	158	38	0	65	2483	2282	163	38	0	66	61.37	2224
FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.5	4166	3495	522	149	0	65	4216	3511	540	165	0	67	94.56	3427
FerrettiP_2018__CA_C10031IS2541FE_t4M15__bin.4	3189	2825	305	59	0	65	3205	2836	309	60	0	66	75.83	2748
FerrettiP_2018__CA_C10024IS2419FE_t4M15__bin.6	4134	3499	508	127	0	65	4182	3515	524	143	0	67	94.67	3431
FerrettiP_2018__CA_C10024IS2419FE_t5M16__bin.9	4130	3522	361	247	0	65	4176	3547	378	251	0	67	94.67	3431
FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.39	2501	2207	204	90	0	64	2521	2222	208	91	0	66	59.35	2151
FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.86	3630	3297	270	63	0	64	3660	3321	276	63	0	66	88.58	3210
FerrettiP_2018__CA_C10026IS2465FE_t4M16__bin.10	4305	3526	651	128	0	65	4351	3548	675	128	0	67	95.31	3454
FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.6	4153	3487	363	303	0	65	4216	3526	378	312	0	67	93.68	3395
FerrettiP_2018__CA_C10039IS2681FE_t3M16__bin.9	2860	2491	348	21	0	64	2883	2502	360	21	0	65	67.58	2449
FerrettiP_2018__CA_C10039IS2677FE_t2M16__bin.1	3492	2894	469	129	0	65	3544	2910	505	129	0	66	78.17	2833
FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.13	4357	3435	736	186	0	65	4429	3458	785	186	0	65	92.25	3343
FerrettiP_2018__CA_C10035IS2609FE_t3M16__bin.9	4128	3426	542	160	0	65	4167	3452	553	162	0	67	92.14	3339
FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.11	4523	3600	711	212	0	65	4585	3624	748	213	0	67	96.8	3508
FerrettiP_2018__CA_C10049IS2854FE_t1M16__bin.3	2797	2470	264	63	0	64	2837	2494	278	65	0	65	66.25	2401
FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin.2	3839	3487	296	56	0	64	3882	3521	305	56	0	67	93.93	3404
FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.25	3538	3085	290	163	0	65	3577	3104	310	163	0	66	82.81	3001
FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.22	3379	2710	450	219	0	56	3402	2724	456	222	0	56	73.43	2661
FerrettiP_2018__CA_C10042IS2739FE_t5M16__bin.1	4165	3540	540	85	0	65	4212	3566	560	86	0	67	95.72	3469
FerrettiP_2018__CA_C10042IS2739FE_t4M16__bin.3	4243	3508	578	157	0	65	4284	3534	591	159	0	67	94.84	3437
FerrettiP_2018__CA_C10049IS2861FE_t3M16__bin.5	4516	3539	661	316	0	65	4539	3552	669	318	0	67	95.75	3470
FerrettiP_2018__CA_C10049IS2866FE_t4M16__bin.4	4467	3512	649	306	0	65	4489	3524	657	308	0	67	95.01	3443
FerrettiP_2018__CA_C10052IS2908FE_t1M16__bin.3	3215	2758	332	125	0	65	3257	2768	362	127	0	66	73.98	2681
FerrettiP_2018__CA_C10052IS2911FE_t2M16__bin.3	3978	3352	413	213	0	65	4002	3363	425	214	0	66	90.12	3266
GeversD_2014__SKBSTL012__bin.2	2403	2035	266	102	0	64	2412	2040	268	104	0	64	54.97	1992
FerrettiP_2018__CA_C10052IS2915FE_t3M16__bin.10	3444	2834	487	123	0	65	3459	2845	491	123	0	66	76.63	2777
GeversD_2014__SKBSTL006__bin.43	3620	2973	460	187	0	61	3653	2998	468	187	0	63	80.6	2921
FerrettiP_2018__CA_C10055IS2969FE_t3M16__bin.8	4324	3671	492	161	0	65	4368	3694	512	162	0	67	98.62	3574
GeversD_2014__SKBSTL016__bin.25	2626	2294	295	37	0	65	2640	2306	297	37	0	66	62.25	2256
GeversD_2014__SKBSTL007__bin.20	4038	3336	494	208	0	65	4066	3353	505	208	0	67	90.2	3269
GeversD_2014__SKBSTL021__bin.47	2446	2115	237	94	0	65	2454	2122	238	94	0	67	57.17	2072
